"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.comparia.beta.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","www.comparia.beta.gouv.fr/87.98.187.73","443","MEDIUM","128 cipher limit bug","",""
"SSLv2","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","www.comparia.beta.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","www.comparia.beta.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.comparia.beta.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.comparia.beta.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.comparia.beta.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.comparia.beta.gouv.fr/87.98.187.73","443","OK","offered","",""
